Institute,Program,average_ctc,median_ctc,highest_ctc,top_recruiters,job_titles,inst_rank,inst_key,placement_rating,year
Jadavpur University,Architectural Engineering,48.8,41.83,69.71,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2016","Support Engineer, System Analyst",1,jadavpur university,99.87,2016
Jadavpur University,Architectural Engineering,48.8,41.83,69.72,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2017","Support Engineer, System Analyst",1,jadavpur university,99.88,2017
Jadavpur University,Architectural Engineering,48.81,41.84,69.73,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2018","Support Engineer, System Analyst",1,jadavpur university,99.89,2018
Jadavpur University,Architectural Engineering,48.82,41.84,69.74,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2019","Support Engineer, System Analyst",1,jadavpur university,99.9,2019
Jadavpur University,Architectural Engineering,48.82,41.85,69.75,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2020","Support Engineer, System Analyst",1,jadavpur university,99.91,2020
Jadavpur University,Architectural Engineering,48.83,41.86,69.76,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2021","Support Engineer, System Analyst",1,jadavpur university,99.92,2021
Jadavpur University,Architectural Engineering,48.84,41.86,69.77,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2022","Support Engineer, System Analyst",1,jadavpur university,99.93,2022
Jadavpur University,Architectural Engineering,48.85,41.87,69.78,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2023","Support Engineer, System Analyst",1,jadavpur university,99.94,2023
Jadavpur University,Architectural Engineering,48.85,41.87,69.79,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2024","Support Engineer, System Analyst",1,jadavpur university,99.95,2024
Jadavpur University,Architectural Engineering,48.86,41.88,69.8,"TCS Pvt Ltd, Accenture India, Infosys Pvt Ltd; Batch 2025","Support Engineer, System Analyst",1,jadavpur university,99.96,2025
Jadavpur University,Electrical Engineering (TFW),48.73,41.77,69.61,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2016","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.85,2016
Jadavpur University,Electrical Engineering (TFW),48.73,41.77,69.62,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2017","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.86,2017
Jadavpur University,Electrical Engineering (TFW),48.74,41.78,69.63,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2018","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.87,2018
Jadavpur University,Electrical Engineering (TFW),48.75,41.78,69.64,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2019","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.88,2019
Jadavpur University,Electrical Engineering (TFW),48.76,41.79,69.65,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2020","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.89,2020
Jadavpur University,Electrical Engineering (TFW),48.76,41.8,69.66,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2021","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.9,2021
Jadavpur University,Electrical Engineering (TFW),48.77,41.8,69.67,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2022","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.91,2022
Jadavpur University,Electrical Engineering (TFW),48.78,41.81,69.68,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2023","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.92,2023
Jadavpur University,Electrical Engineering (TFW),48.78,41.81,69.69,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2024","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.93,2024
Jadavpur University,Electrical Engineering (TFW),48.79,41.82,69.7,"Reliance Pvt Ltd, BHEL India, Siemens Pvt Ltd; Batch 2025","Field Engineer, Electrical Design Engineer",1,jadavpur university,99.94,2025
Jadavpur University,Electrical Engineering,48.66,41.71,69.51,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2016","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.83,2016
Jadavpur University,Electrical Engineering,48.66,41.71,69.52,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2017","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.84,2017
Jadavpur University,Electrical Engineering,48.67,41.72,69.53,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2018","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.85,2018
Jadavpur University,Electrical Engineering,48.68,41.72,69.54,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2019","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.86,2019
Jadavpur University,Electrical Engineering,48.68,41.73,69.55,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2020","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.87,2020
Jadavpur University,Electrical Engineering,48.69,41.74,69.56,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2021","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.88,2021
Jadavpur University,Electrical Engineering,48.7,41.74,69.57,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2022","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.89,2022
Jadavpur University,Electrical Engineering,48.71,41.75,69.58,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2023","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.9,2023
Jadavpur University,Electrical Engineering,48.71,41.75,69.59,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2024","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.91,2024
Jadavpur University,Electrical Engineering,48.72,41.76,69.6,"BHEL Pvt Ltd, GE India, Siemens Pvt Ltd; Batch 2025","Power Systems Engineer, Electrical Design Engineer",1,jadavpur university,99.92,2025
Jadavpur University,Mechanical Engineering (TFW),48.59,41.65,69.41,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2016","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.81,2016
Jadavpur University,Mechanical Engineering (TFW),48.59,41.65,69.42,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2017","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.82,2017
Jadavpur University,Mechanical Engineering (TFW),48.6,41.66,69.43,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2018","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.83,2018
Jadavpur University,Mechanical Engineering (TFW),48.61,41.66,69.44,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2019","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.84,2019
Jadavpur University,Mechanical Engineering (TFW),48.62,41.67,69.45,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2020","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.85,2020
Jadavpur University,Mechanical Engineering (TFW),48.62,41.68,69.46,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2021","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.86,2021
Jadavpur University,Mechanical Engineering (TFW),48.63,41.68,69.47,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2022","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.87,2022
Jadavpur University,Mechanical Engineering (TFW),48.64,41.69,69.48,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2023","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.88,2023
Jadavpur University,Mechanical Engineering (TFW),48.64,41.69,69.49,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2024","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.89,2024
Jadavpur University,Mechanical Engineering (TFW),48.65,41.7,69.5,"Larsen & Toubro Pvt Ltd, Bajaj Auto India, Tata Motors Pvt Ltd; Batch 2025","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.9,2025
Jadavpur University,Mechanical Engineering,48.52,41.59,69.31,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2016","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.79,2016
Jadavpur University,Mechanical Engineering,48.52,41.59,69.32,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2017","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.8,2017
Jadavpur University,Mechanical Engineering,48.53,41.6,69.33,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2018","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.81,2018
Jadavpur University,Mechanical Engineering,48.54,41.6,69.34,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2019","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.82,2019
Jadavpur University,Mechanical Engineering,48.54,41.61,69.35,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2020","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.83,2020
Jadavpur University,Mechanical Engineering,48.55,41.62,69.36,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2021","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.84,2021
Jadavpur University,Mechanical Engineering,48.56,41.62,69.37,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2022","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.85,2022
Jadavpur University,Mechanical Engineering,48.57,41.63,69.38,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2023","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.86,2023
Jadavpur University,Mechanical Engineering,48.57,41.63,69.39,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2024","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.87,2024
Jadavpur University,Mechanical Engineering,48.58,41.64,69.4,"Tata Motors Pvt Ltd, Suzuki India, Larsen & Toubro Pvt Ltd; Batch 2025","Manufacturing Engineer, Thermal Engineer",1,jadavpur university,99.88,2025
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.45,41.53,69.21,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2016","R&D Engineer, Chemical Engineer",1,jadavpur university,99.77,2016
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.45,41.53,69.22,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2017","R&D Engineer, Chemical Engineer",1,jadavpur university,99.78,2017
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.46,41.54,69.23,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2018","R&D Engineer, Chemical Engineer",1,jadavpur university,99.79,2018
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.47,41.54,69.24,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2019","R&D Engineer, Chemical Engineer",1,jadavpur university,99.8,2019
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.47,41.55,69.25,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2020","R&D Engineer, Chemical Engineer",1,jadavpur university,99.81,2020
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.48,41.56,69.26,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2021","R&D Engineer, Chemical Engineer",1,jadavpur university,99.82,2021
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.49,41.56,69.27,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2022","R&D Engineer, Chemical Engineer",1,jadavpur university,99.83,2022
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.5,41.57,69.28,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2023","R&D Engineer, Chemical Engineer",1,jadavpur university,99.84,2023
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.5,41.57,69.29,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2024","R&D Engineer, Chemical Engineer",1,jadavpur university,99.85,2024
Jadavpur University,Food Technology And Bio Chemical Engineering (TFW),48.51,41.58,69.3,"ONGC Pvt Ltd, Tata Chemicals India, BASF Pvt Ltd; Batch 2025","R&D Engineer, Chemical Engineer",1,jadavpur university,99.86,2025
Jadavpur University,Chemical Engineering (TFW),48.38,41.47,69.11,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2016","Chemical Engineer, Process Engineer",1,jadavpur university,99.75,2016
Jadavpur University,Chemical Engineering (TFW),48.38,41.47,69.12,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2017","Chemical Engineer, Process Engineer",1,jadavpur university,99.76,2017
Jadavpur University,Chemical Engineering (TFW),48.39,41.48,69.13,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2018","Chemical Engineer, Process Engineer",1,jadavpur university,99.77,2018
Jadavpur University,Chemical Engineering (TFW),48.4,41.48,69.14,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2019","Chemical Engineer, Process Engineer",1,jadavpur university,99.78,2019
Jadavpur University,Chemical Engineering (TFW),48.41,41.49,69.15,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2020","Chemical Engineer, Process Engineer",1,jadavpur university,99.79,2020
Jadavpur University,Chemical Engineering (TFW),48.41,41.5,69.16,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2021","Chemical Engineer, Process Engineer",1,jadavpur university,99.8,2021
Jadavpur University,Chemical Engineering (TFW),48.42,41.5,69.17,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2022","Chemical Engineer, Process Engineer",1,jadavpur university,99.81,2022
Jadavpur University,Chemical Engineering (TFW),48.43,41.51,69.18,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2023","Chemical Engineer, Process Engineer",1,jadavpur university,99.82,2023
Jadavpur University,Chemical Engineering (TFW),48.43,41.51,69.19,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2024","Chemical Engineer, Process Engineer",1,jadavpur university,99.83,2024
Jadavpur University,Chemical Engineering (TFW),48.44,41.52,69.2,"ONGC Pvt Ltd, GAIL India, Reliance Industries Pvt Ltd; Batch 2025","Chemical Engineer, Process Engineer",1,jadavpur university,99.84,2025
Jadavpur University,Food Technology And Bio Chemical Engineering,48.31,41.41,69.01,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2016","Chemical Engineer, R&D Engineer",1,jadavpur university,99.73,2016
Jadavpur University,Food Technology And Bio Chemical Engineering,48.31,41.41,69.02,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2017","Chemical Engineer, R&D Engineer",1,jadavpur university,99.74,2017
Jadavpur University,Food Technology And Bio Chemical Engineering,48.32,41.42,69.03,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2018","Chemical Engineer, R&D Engineer",1,jadavpur university,99.75,2018
Jadavpur University,Food Technology And Bio Chemical Engineering,48.33,41.42,69.04,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2019","Chemical Engineer, R&D Engineer",1,jadavpur university,99.76,2019
Jadavpur University,Food Technology And Bio Chemical Engineering,48.33,41.43,69.05,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2020","Chemical Engineer, R&D Engineer",1,jadavpur university,99.77,2020
Jadavpur University,Food Technology And Bio Chemical Engineering,48.34,41.44,69.06,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2021","Chemical Engineer, R&D Engineer",1,jadavpur university,99.78,2021
Jadavpur University,Food Technology And Bio Chemical Engineering,48.35,41.44,69.07,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2022","Chemical Engineer, R&D Engineer",1,jadavpur university,99.79,2022
Jadavpur University,Food Technology And Bio Chemical Engineering,48.36,41.45,69.08,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2023","Chemical Engineer, R&D Engineer",1,jadavpur university,99.8,2023
Jadavpur University,Food Technology And Bio Chemical Engineering,48.36,41.45,69.09,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2024","Chemical Engineer, R&D Engineer",1,jadavpur university,99.81,2024
Jadavpur University,Food Technology And Bio Chemical Engineering,48.37,41.46,69.1,"GAIL Pvt Ltd, BASF India, Reliance Industries Pvt Ltd; Batch 2025","Chemical Engineer, R&D Engineer",1,jadavpur university,99.82,2025
Jadavpur University,Chemical Engineering,48.24,41.35,68.91,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2016","Process Engineer, Chemical Engineer",1,jadavpur university,99.71,2016
Jadavpur University,Chemical Engineering,48.24,41.35,68.92,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2017","Process Engineer, Chemical Engineer",1,jadavpur university,99.72,2017
Jadavpur University,Chemical Engineering,48.25,41.36,68.93,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2018","Process Engineer, Chemical Engineer",1,jadavpur university,99.73,2018
Jadavpur University,Chemical Engineering,48.26,41.36,68.94,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2019","Process Engineer, Chemical Engineer",1,jadavpur university,99.74,2019
Jadavpur University,Chemical Engineering,48.27,41.37,68.95,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2020","Process Engineer, Chemical Engineer",1,jadavpur university,99.75,2020
Jadavpur University,Chemical Engineering,48.27,41.38,68.96,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2021","Process Engineer, Chemical Engineer",1,jadavpur university,99.76,2021
Jadavpur University,Chemical Engineering,48.28,41.38,68.97,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2022","Process Engineer, Chemical Engineer",1,jadavpur university,99.77,2022
Jadavpur University,Chemical Engineering,48.29,41.39,68.98,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2023","Process Engineer, Chemical Engineer",1,jadavpur university,99.78,2023
Jadavpur University,Chemical Engineering,48.29,41.39,68.99,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2024","Process Engineer, Chemical Engineer",1,jadavpur university,99.79,2024
Jadavpur University,Chemical Engineering,48.3,41.4,69,"Tata Chemicals Pvt Ltd, GAIL India, ONGC Pvt Ltd; Batch 2025","Process Engineer, Chemical Engineer",1,jadavpur university,99.8,2025
Jadavpur University,Civil Engineering (TFW),48.17,41.29,68.81,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2016","Site Engineer, Structural Engineer",1,jadavpur university,99.69,2016
Jadavpur University,Civil Engineering (TFW),48.17,41.29,68.82,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2017","Site Engineer, Structural Engineer",1,jadavpur university,99.7,2017
Jadavpur University,Civil Engineering (TFW),48.18,41.3,68.83,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2018","Site Engineer, Structural Engineer",1,jadavpur university,99.71,2018
Jadavpur University,Civil Engineering (TFW),48.19,41.3,68.84,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2019","Site Engineer, Structural Engineer",1,jadavpur university,99.72,2019
Jadavpur University,Civil Engineering (TFW),48.19,41.31,68.85,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2020","Site Engineer, Structural Engineer",1,jadavpur university,99.73,2020
Jadavpur University,Civil Engineering (TFW),48.2,41.32,68.86,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2021","Site Engineer, Structural Engineer",1,jadavpur university,99.74,2021
Jadavpur University,Civil Engineering (TFW),48.21,41.32,68.87,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2022","Site Engineer, Structural Engineer",1,jadavpur university,99.75,2022
Jadavpur University,Civil Engineering (TFW),48.22,41.33,68.88,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2023","Site Engineer, Structural Engineer",1,jadavpur university,99.76,2023
Jadavpur University,Civil Engineering (TFW),48.22,41.33,68.89,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2024","Site Engineer, Structural Engineer",1,jadavpur university,99.77,2024
Jadavpur University,Civil Engineering (TFW),48.23,41.34,68.9,"IL&FS Pvt Ltd, Gammon India, L&T Pvt Ltd; Batch 2025","Site Engineer, Structural Engineer",1,jadavpur university,99.78,2025
Jadavpur University,Civil Engineering,48.1,41.23,68.71,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2016","Project Engineer, Site Engineer",1,jadavpur university,99.67,2016
Jadavpur University,Civil Engineering,48.1,41.23,68.72,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2017","Project Engineer, Site Engineer",1,jadavpur university,99.68,2017
Jadavpur University,Civil Engineering,48.11,41.24,68.73,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2018","Project Engineer, Site Engineer",1,jadavpur university,99.69,2018
Jadavpur University,Civil Engineering,48.12,41.24,68.74,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2019","Project Engineer, Site Engineer",1,jadavpur university,99.7,2019
Jadavpur University,Civil Engineering,48.12,41.25,68.75,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2020","Project Engineer, Site Engineer",1,jadavpur university,99.71,2020
Jadavpur University,Civil Engineering,48.13,41.26,68.76,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2021","Project Engineer, Site Engineer",1,jadavpur university,99.72,2021
Jadavpur University,Civil Engineering,48.14,41.26,68.77,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2022","Project Engineer, Site Engineer",1,jadavpur university,99.73,2022
Jadavpur University,Civil Engineering,48.15,41.27,68.78,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2023","Project Engineer, Site Engineer",1,jadavpur university,99.74,2023
Jadavpur University,Civil Engineering,48.15,41.27,68.79,"IL&FS Pvt Ltd, L&T India, Tata Projects Pvt Ltd; Batch 2024","Project Engineer, Site Engineer",1,jadavpur university,99.75,2024
